epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.00632,4.15819,81.089,1.69436,0.02326,0.2,0.0155,0.00659,3.3651,51.3098,1.39287,9e-05,9e-05,9e-05
2,7.97432,3.01868,32.8261,1.17107,0.86014,0.8,0.9466,0.51879,1.3754,29.3626,0.92812,0.000180595,0.000180595,0.000180595
3,11.0889,1.69766,5.01125,0.84815,0.99713,1,0.995,0.58905,1.38871,13.5276,0.90467,0.00026129,0.00026129,0.00026129
4,14.1841,1.53577,3.0871,0.83711,0.99686,1,0.995,0.62462,1.09947,69.5075,0.88746,0.000332085,0.000332085,0.000332085
5,14.6683,1.42192,2.48361,0.8302,0.9956,1,0.995,0.63879,1.28771,2.05609,0.88975,0.00039298,0.00039298,0.00039298
6,17.7389,1.28168,1.73239,0.82766,0.99752,1,0.995,0.61474,1.22297,1.01919,0.89113,0.000443975,0.000443975,0.000443975
7,20.5931,1.34497,1.49671,0.83921,0.99676,1,0.995,0.63034,1.218,0.99639,0.90413,0.00048507,0.00048507,0.00048507
8,23.4397,1.1945,1.28339,0.8342,0.99629,1,0.995,0.6371,1.2543,0.57753,0.8912,0.000516265,0.000516265,0.000516265
9,26.3253,1.25979,1.08159,0.84188,0.99728,1,0.995,0.65344,1.14957,0.59395,0.88791,0.00053756,0.00053756,0.00053756
10,29.1831,1.23517,0.95514,0.81517,0.99728,1,0.995,0.64236,1.17567,0.54752,0.89171,0.000548955,0.000548955,0.000548955
11,33.0704,1.10213,0.98001,0.80418,0.99728,1,0.995,0.65199,1.21148,0.51489,0.8877,0.000505,0.000505,0.000505
12,36.4273,1.10638,0.9934,0.79797,0.99724,1,0.995,0.64455,1.16638,0.5323,0.91537,0.0004555,0.0004555,0.0004555
13,39.1954,1.03444,0.87948,0.80531,0.99733,1,0.995,0.68051,1.06226,0.52319,0.87765,0.000406,0.000406,0.000406
14,42.1285,1.07967,0.84857,0.81074,0.99718,1,0.995,0.71508,0.89086,0.42614,0.86921,0.0003565,0.0003565,0.0003565
15,42.5678,0.98907,0.75422,0.80962,0.99733,1,0.995,0.67265,1.06683,0.4635,0.87678,0.000307,0.000307,0.000307
16,45.432,0.97772,0.70401,0.78462,0.99714,1,0.995,0.67257,1.10452,0.45421,0.87822,0.0002575,0.0002575,0.0002575
17,48.2697,0.8869,0.6989,0.8143,0.99719,1,0.995,0.62224,1.0984,0.46928,0.88402,0.000208,0.000208,0.000208
18,51.1466,0.87225,0.6628,0.8036,0.99721,1,0.995,0.67676,1.07703,0.48505,0.87988,0.0001585,0.0001585,0.0001585
19,53.9257,0.82565,0.65617,0.81308,0.9972,1,0.995,0.7063,1.01918,0.48568,0.87766,0.000109,0.000109,0.000109
20,56.74,0.80121,0.60957,0.77961,0.99714,1,0.995,0.71094,0.96348,0.43256,0.87506,5.95e-05,5.95e-05,5.95e-05
